iter	Passed	Remaining
0	1	4376
1	3	4581
2	4	4750
3	6	4574
4	7	4589
5	9	4545
6	10	4429
7	11	4453
8	13	4399
9	14	4298
10	15	4219
11	16	4162
12	18	4179
13	19	4127
14	20	4065
15	21	4051
16	22	3990
17	23	3972
18	25	3970
19	26	3998
20	27	3951
21	28	3899
22	29	3865
23	31	3889
24	32	3856
25	33	3839
26	35	3865
27	36	3851
28	37	3857
29	38	3840
30	39	3829
31	41	3827
32	42	3857
33	44	3849
34	45	3871
35	47	3869
36	48	3851
37	49	3828
38	50	3814
39	51	3811
40	52	3788
41	53	3775
42	54	3767
43	56	3762
44	57	3775
45	58	3758
46	59	3743
47	60	3726
48	61	3726
49	62	3708
50	63	3699
51	65	3696
52	66	3694
53	67	3684
54	68	3694
55	70	3686
56	71	3671
57	72	3657
58	73	3648
59	74	3639
60	75	3628
61	76	3615
62	77	3616
63	79	3625
64	80	3622
65	81	3613
66	82	3603
67	83	3591
68	84	3583
69	88	3718
70	90	3719
71	91	3717
72	92	3721
73	94	3717
74	95	3709
75	96	3712
76	97	3703
77	98	3701
78	99	3697
79	101	3701
80	102	3699
81	103	3696
82	105	3692
83	106	3698
84	107	3701
85	109	3705
86	110	3707
87	111	3704
88	113	3699
89	114	3691
90	115	3681
91	116	3681
92	117	3678
93	119	3684
94	120	3692
95	121	3687
96	122	3680
97	124	3674
98	125	3667
99	126	3661
100	127	3655
101	128	3657
102	129	3652
103	131	3654
104	132	3647
105	133	3638
106	134	3629
107	135	3621
108	136	3620
109	137	3613
110	138	3615
111	140	3623
112	141	3619
113	142	3614
114	144	3612
115	145	3610
116	146	3605
117	147	3611
118	149	3608
119	150	3602
120	151	3594
121	152	3587
122	153	3594
123	154	3588
124	156	3589
125	157	3592
126	158	3593
127	159	3589
128	161	3584
129	162	3586
130	163	3579
131	164	3575
132	165	3567
133	166	3563
134	167	3558
135	168	3554
136	169	3551
137	171	3554
138	172	3556
139	174	3562
140	175	3558
141	177	3563
142	178	3562
143	179	3561
144	180	3557
145	181	3553
146	182	3547
147	184	3548
148	185	3545
149	186	3544
150	187	3540
151	188	3540
152	190	3539
153	191	3540
154	192	3534
155	193	3530
156	194	3527
157	195	3521
158	197	3522
159	198	3523
160	199	3519
161	201	3522
162	202	3521
163	204	3531
164	206	3540
165	208	3555
166	210	3572
167	212	3584
168	215	3616
169	217	3615
170	219	3623
171	220	3618
172	222	3630
173	223	3624
174	224	3619
175	225	3614
176	226	3617
177	228	3617
178	229	3617
179	230	3612
180	231	3606
181	232	3600
182	233	3595
183	234	3590
184	235	3587
185	236	3583
186	237	3580
187	239	3576
188	240	3573
189	241	3567
190	242	3562
191	243	3559
192	244	3555
193	245	3554
194	246	3549
195	247	3544
196	248	3539
197	249	3536
198	250	3532
199	252	3528
200	253	3525
201	254	3521
202	255	3516
203	256	3518
204	257	3514
205	258	3511
206	259	3506
207	261	3504
208	262	3504
209	263	3500
210	264	3498
211	266	3499
212	267	3496
213	268	3493
214	269	3495
215	271	3494
216	272	3490
217	273	3487
218	274	3483
219	275	3479
220	276	3479
221	278	3481
222	279	3477
223	280	3477
224	281	3475
225	283	3476
226	284	3477
227	285	3472
228	286	3468
229	288	3471
230	289	3470
231	290	3467
232	291	3463
233	292	3462
234	294	3465
235	296	3467
236	297	3468
237	298	3467
238	299	3463
239	300	3459
240	302	3457
241	303	3459
242	304	3458
243	305	3454
244	306	3451
245	308	3448
246	309	3450
247	310	3450
248	312	3448
249	313	3444
250	314	3443
251	315	3439
252	316	3435
253	317	3430
254	318	3427
255	319	3424
256	320	3425
257	321	3421
258	322	3417
259	324	3414
260	324	3410
261	326	3408
262	327	3407
263	328	3407
264	329	3403
265	330	3400
266	331	3397
267	333	3395
268	334	3394
269	335	3391
270	336	3388
271	337	3386
272	339	3388
273	340	3384
274	341	3381
275	342	3380
276	343	3378
277	344	3374
278	345	3371
279	346	3368
280	348	3368
281	349	3367
282	350	3363
283	351	3361
284	352	3357
285	353	3355
286	354	3354
287	355	3351
288	356	3347
289	357	3343
290	358	3341
291	360	3341
292	361	3340
293	362	3338
294	363	3334
295	364	3330
296	366	3331
297	367	3335
298	369	3334
299	370	3331
300	371	3328
301	372	3325
302	373	3323
303	374	3320
304	375	3316
305	376	3314
306	377	3314
307	379	3313
308	380	3312
309	381	3309
310	382	3305
311	383	3304
312	384	3300
313	386	3302
314	386	3298
315	388	3299
316	389	3296
317	390	3295
318	391	3292
319	393	3292
320	394	3289
321	395	3285
322	396	3284
323	397	3281
324	398	3279
325	399	3278
326	400	3275
327	401	3273
328	403	3274
329	404	3272
330	405	3272
331	406	3270
332	408	3270
333	409	3267
334	410	3264
335	411	3263
336	412	3261
337	414	3261
338	416	3272
339	418	3271
340	419	3270
341	420	3270
342	422	3269
343	423	3266
344	424	3263
345	425	3261
346	426	3257
347	427	3258
348	428	3255
349	429	3252
350	430	3250
351	432	3250
352	433	3249
353	434	3247
354	435	3245
355	436	3243
356	438	3243
357	439	3242
358	440	3239
359	441	3237
360	442	3235
361	444	3237
362	445	3234
363	446	3234
364	447	3233
365	448	3230
366	450	3228
367	451	3228
368	452	3227
369	453	3224
370	455	3225
371	456	3224
372	457	3222
373	458	3219
374	459	3217
375	460	3214
376	461	3212
377	462	3210
378	463	3207
379	464	3205
380	465	3202
381	466	3200
382	468	3200
383	469	3199
384	470	3196
385	471	3193
386	472	3191
387	473	3190
388	475	3188
389	476	3186
390	477	3184
391	478	3181
392	479	3181
393	480	3180
394	481	3177
395	483	3176
396	484	3173
397	485	3171
398	486	3168
399	487	3167
400	488	3168
401	490	3168
402	491	3167
403	492	3165
404	493	3162
405	494	3160
406	495	3157
407	496	3156
408	498	3156
409	499	3156
410	500	3155
411	501	3152
412	502	3150
413	503	3147
414	504	3144
415	506	3145
416	507	3143
417	508	3142
418	509	3139
419	511	3139
420	512	3137
421	513	3135
422	514	3133
423	515	3132
424	516	3129
425	517	3126
426	518	3124
427	519	3124
428	520	3122
429	522	3120
430	523	3118
431	524	3117
432	525	3116
433	526	3114
434	528	3113
435	529	3111
436	530	3112
437	531	3110
438	532	3108
439	534	3107
440	535	3106
441	536	3105
442	537	3103
443	538	3102
444	540	3101
445	541	3100
446	542	3099
447	543	3097
448	544	3095
449	546	3096
450	547	3095
451	548	3094
452	550	3092
453	551	3090
454	552	3091
455	553	3089
456	555	3088
457	556	3086
458	557	3085
459	558	3083
460	559	3082
461	560	3080
462	562	3080
463	563	3079
464	564	3078
465	566	3078
466	567	3077
467	568	3075
468	569	3075
469	571	3075
470	572	3076
471	574	3077
472	576	3077
473	577	3078
474	579	3078
475	580	3078
476	581	3078
477	583	3077
478	584	3077
479	586	3077
480	587	3077
481	589	3077
482	590	3077
483	591	3075
484	592	3073
485	593	3071
486	595	3070
487	596	3069
488	597	3068
489	598	3066
490	599	3065
491	601	3064
492	602	3064
493	603	3062
494	605	3063
495	606	3063
496	607	3061
497	608	3059
498	610	3057
499	611	3057
500	613	3057
501	614	3056
502	615	3056
503	617	3056
504	618	3054
505	619	3053
506	620	3051
507	621	3049
508	623	3049
509	624	3048
510	625	3046
511	626	3045
512	628	3045
513	629	3046
514	631	3046
515	632	3045
516	633	3043
517	634	3042
518	636	3041
519	637	3040
520	638	3038
521	640	3039
522	641	3037
523	642	3035
524	643	3034
525	644	3033
526	646	3031
527	647	3030
528	648	3028
529	649	3026
530	650	3025
531	651	3024
532	653	3023
533	654	3022
534	655	3021
535	656	3019
536	658	3018
537	659	3018
538	660	3016
539	661	3014
540	662	3013
541	664	3012
542	665	3012
543	667	3011
544	668	3009
545	669	3007
546	670	3007
547	671	3005
548	672	3003
549	673	3002
550	675	3001
551	676	3000
552	677	2998
553	678	2996
554	680	2995
555	681	2996
556	682	2995
557	684	2996
558	686	2996
559	687	2995
560	688	2994
561	689	2992
562	691	2991
563	695	3001
564	696	3003
565	698	3003
566	699	3002
567	701	3001
568	702	3000
569	704	3001
570	705	3000
571	707	3002
572	708	3002
573	710	3001
574	711	2999
575	712	2999
576	714	2998
577	715	2996
578	716	2995
579	717	2995
580	719	2993
581	720	2993
582	721	2992
583	723	2991
584	724	2991
585	725	2989
586	726	2987
587	728	2986
588	729	2986
589	730	2984
590	732	2983
591	733	2982
592	734	2980
593	735	2979
594	736	2977
595	737	2976
596	738	2974
597	740	2972
598	741	2971
599	742	2969
600	743	2968
601	745	2968
602	746	2966
603	747	2964
604	748	2963
605	749	2961
606	750	2960
607	752	2959
608	753	2957
609	754	2956
610	755	2955
611	757	2954
612	758	2953
613	759	2951
614	760	2950
615	762	2949
616	763	2948
617	764	2947
618	765	2946
619	767	2945
620	768	2943
621	769	2941
622	770	2941
623	772	2940
624	773	2938
625	774	2937
626	775	2935
627	776	2933
628	778	2932
629	779	2931
630	780	2928
631	781	2927
632	782	2926
633	783	2924
634	784	2922
635	785	2920
636	786	2918
637	788	2918
638	789	2916
639	790	2915
640	791	2914
641	793	2913
642	794	2912
643	795	2911
644	797	2910
645	798	2910
646	800	2909
647	801	2908
648	803	2908
649	804	2907
650	805	2906
651	806	2905
652	808	2904
653	810	2905
654	811	2904
655	812	2903
656	814	2903
657	815	2902
658	816	2902
659	818	2901
660	819	2901
661	821	2900
662	822	2900
663	824	2899
664	825	2898
665	826	2897
666	827	2895
667	829	2895
668	831	2896
669	832	2894
670	833	2892
671	834	2891
672	836	2890
673	837	2889
674	838	2888
675	839	2886
676	840	2885
677	842	2884
678	843	2883
679	844	2881
680	846	2881
681	847	2880
682	848	2879
683	849	2877
684	851	2876
685	852	2874
686	853	2875
687	855	2873
