Feature,Abs_Correlation,MI_Score,ElasticNet_Importance,LightGBM_Importance,Corr_Rank,MI_Rank,Enet_Rank,LGB_Rank,Average_Rank
V13,0.05983896977673288,0.07906557157517025,0.0003245952970157252,0.2275312018682598,2.0,4.0,2.0,10.0,4.5
M4,0.06440392539854257,0.0453563577544136,0.0004407429729109558,0.38161292914446676,1.0,21.0,1.0,1.0,6.0
S2,0.03663693206940396,0.04402936463035445,0.00019501815592594046,0.24209151129616657,4.0,27.0,3.0,9.0,10.75
P8,0.029136336318016855,0.04613554316791202,4.146326333467313e-06,0.15769943967461586,9.0,19.0,15.0,20.0,15.75
E19,0.02286635816869488,0.10667202100836448,0.0,0.3319163655760349,17.0,1.0,55.5,2.0,18.875
V7,0.030383857192668375,0.10360518363981797,0.0,0.21558395141619258,7.0,2.0,55.5,12.0,19.125
I2,0.024492262101978166,0.04646278916366775,3.2096210738601e-05,0.10127589799958514,14.0,17.0,12.0,44.0,21.75
P5,0.021497751551669733,0.07234671448227559,0.0,0.20623960699595045,20.0,5.0,55.5,13.0,23.375
S5,0.038484765168693306,0.03779106724937176,0.0,0.2682335001009051,3.0,38.0,55.5,7.0,25.875
M17,0.024150040287368245,0.04479882360060561,0.00010673831943344961,0.08087110556516564,15.0,23.0,7.0,61.0,26.5
P10,0.019951584980250063,0.04998065156468279,0.0,0.16620052657526685,24.0,12.0,55.5,18.0,27.375
E12,0.02880839791695401,0.04944959790856718,0.0,0.11385535484441789,10.0,13.0,55.5,32.0,27.625
P12,0.021620802256943884,0.01600546958182747,5.4674512978804195e-05,0.1848722149443347,19.0,70.0,9.0,15.0,28.25
E11,0.02998581005641215,0.03033037710452202,0.00014173790598306373,0.08850378685019678,8.0,48.0,6.0,53.0,28.75
M12,0.023773144183110835,0.022919759880433155,4.739784013365566e-05,0.10667313867452322,16.0,59.0,10.0,36.0,30.25
P6,0.00031883230929640014,0.04293537859402541,0.00016577346226040603,0.28445268002542434,94.0,30.0,5.0,4.0,33.25
P7,0.021647775558425376,0.022866576593103538,0.0,0.33155216203886084,18.0,60.0,55.5,3.0,34.125
S12,0.020866364921215987,0.01033688036573377,3.503405801343714e-05,0.14422342259786092,23.0,80.0,11.0,25.0,34.75
S8,0.00884744352104563,0.07974845974995315,0.0,0.10498376195755554,44.0,3.0,55.5,37.0,34.875
M8,0.021043090740448314,0.03198248690161787,0.0,0.1682490334569593,22.0,45.0,55.5,17.0,34.875
M3,0.015005557078796021,0.027484948951471466,0.0,0.27933616052905563,30.0,50.0,55.5,5.0,35.125
S6,0.021472452598398917,0.0,1.7405648059041357e-05,0.15540664559375728,21.0,92.0,14.0,21.0,37.0
V9,0.013772956255452305,0.06055119672737552,0.0,0.08727423351956531,32.0,8.0,55.5,55.0,37.625
M2,0.027409999161912158,0.018655388977084186,0.0,0.16514661371911643,12.0,69.0,55.5,19.0,38.875
M11,0.005992485533697185,0.0345377052244249,0.0,0.19967343047028407,56.0,42.0,55.5,14.0,41.875
P11,0.01225857224660346,0.03832229288734634,0.0,0.09731256593659054,34.0,37.0,55.5,45.0,42.875
E3,0.0022972092438380805,0.06114264179869355,0.0,0.11175079869281035,79.0,7.0,55.5,34.0,43.875
E17,0.006264438703158398,0.047283405491715946,0.0,0.09003892527834978,54.0,15.0,55.5,51.0,43.875
P3,0.010507883858310675,0.01348739978898994,0.0,0.2693087576481048,39.0,76.0,55.5,6.0,44.125
M10,0.007996345356296123,0.04417575660265438,0.0,0.0912494425137993,47.0,25.0,55.5,50.0,44.375
M1,0.027888578787061684,0.039112676454936324,0.0,0.029129689566616435,11.0,34.0,55.5,79.0,44.875
P2,0.004092938383163757,0.05460619613046802,0.0,0.09549463705479866,71.0,10.0,55.5,46.0,45.625
S7,0.01185365513046745,0.03835716059008831,0.0,0.08646381332800956,36.0,36.0,55.5,56.0,45.875
D1,0.03420672229780791,0.0,0.00017983232204586377,0.018768109890515916,5.5,92.0,4.0,83.0,46.125
P9,0.005562358598696198,0.030617101178553874,0.0,0.15185994797502644,61.0,47.0,55.5,22.0,46.375
E6,0.012829903893323686,0.024054093190681414,0.0,0.10212257429520832,33.0,55.0,55.5,42.0,46.375
E1,0.006694793278788235,0.04596865349811452,0.0,0.08141200388490688,51.0,20.0,55.5,59.0,46.375
S9,0.009109625941025525,0.02301650513677167,0.0,0.11617682017094921,42.0,58.0,55.5,31.0,46.625
I1,0.006239457984163977,0.03108312725312956,0.0,0.11619580191472778,55.0,46.0,55.5,30.0,46.625
E9,0.01493297020617571,0.03756609293714863,0.0,0.08053383624064736,31.0,39.0,55.5,62.0,46.875
V5,0.0019252019645867847,0.04322653098961027,0.0,0.14870320999762043,82.0,29.0,55.5,23.0,47.375
E18,0.007779480335719081,0.04628142543473235,0.0,0.057244008319685236,48.0,18.0,55.5,69.0,47.625
